Change Component Comment : Designator=C10 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C11 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C12 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C14 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C18 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C19 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C20 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C21 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C22 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C17 Old Comment=1PF, 50V, 0603 New Comment=CAP 0603 1PF 50V 0.05PF MLO
Change Component Comment : Designator=C2 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C5 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C3 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C6 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C1 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C13 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C15 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C16 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change component parameters: Designator = "FB1" ("FB1"); Footprint = "0805"; UniqueID = "\GDJTUDWI\XTRDIKFH" ("\GDJTUDWI\XTRDIKFH")
Change component parameters (AddParameter): Name = "Val"; Value = "0.1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "0805_RES"; UniqueID = "\GDJTUDWI\IYSMAXCJ" ("\GDJTUDWI\IYSMAXCJ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 2 0805  1%  0.125W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0805 2 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.125W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\SVXLGCKE" ("\WXVZRCSH\SVXLGCKE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 330K 0603  10%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 330K 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "330K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "330K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\PODFRAOX" ("\WXVZRCSH\PODFRAOX")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 10K 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 10K 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "10K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\QUALELJH" ("\WXVZRCSH\QUALELJH")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 0 0603  5%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 0 5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\PXPAWULQ" ("\WXVZRCSH\PXPAWULQ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 0 0603  5%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 0 5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\QJLRHAUC" ("\WXVZRCSH\QJLRHAUC")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 0 0603  5%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 0 5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\HKJKNSWL" ("\WXVZRCSH\HKJKNSWL")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 0 0603  5%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 0 5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "0603_RES"; UniqueID = "\WXVZRCSH\VVFLAHEY" ("\WXVZRCSH\VVFLAHEY")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 10K 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 10K 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "10K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R19" ("R19"); Footprint = "0603_RES"; UniqueID = "\QZBOFGNL\FXEOQXSP" ("\QZBOFGNL\FXEOQXSP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 620 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 620 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "620"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "620"; VariantName = "[No Variations]"
Change component parameters: Designator = "R21" ("R21"); Footprint = "0603_RES"; UniqueID = "\QZBOFGNL\FANBTZDV" ("\QZBOFGNL\FANBTZDV")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 49.9K 0603  0.1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 49.9K 0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "49.9K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "49.9K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R23" ("R23"); Footprint = "0603_RES"; UniqueID = "\QZBOFGNL\KJWJFWOV" ("\QZBOFGNL\KJWJFWOV")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 200 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 200 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200"; VariantName = "[No Variations]"
Change component parameters: Designator = "R24" ("R24"); Footprint = "0603_RES"; UniqueID = "\QZBOFGNL\AKCXHMKP" ("\QZBOFGNL\AKCXHMKP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 620 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 620 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "620"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "620"; VariantName = "[No Variations]"
Change component parameters: Designator = "R26" ("R26"); Footprint = "0603_RES"; UniqueID = "\QZBOFGNL\YKTUEWDU" ("\QZBOFGNL\YKTUEWDU")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Res SMT 47K 0603  1%  0.1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "RES 0603 47K 1%"; VariantName = "[No Variations]"
